City,Days Overdue Breakdown,Loan Term in Years,Origination Date,Segment,State,Amount,Amount Due,Avg. Interest Rate,Calc for Metrics Parameter,Days Overdue,Loan Term in Months,No. of Loans,Risk Rate
Philadelphia,46-60,11-20 Years,2020-10-29,Commercial,Pennsylvania,500.0,530.0,6,500,58,240,1,2
Mesa,46-60,11-20 Years,2019-11-12,Commercial,Arizona,500.0,522.0,4,500,60,240,1,2
Tampa,61-75,11-20 Years,2022-01-09,Commercial,Florida,500.0,520.0,4,500,67,240,1,2
Fort Myers,61-75,11-20 Years,2022-06-29,Commercial,Florida,500.0,527.0,5,500,68,240,1,2
Olympia,61-75,11-20 Years,2022-02-04,Commercial,Washington,500.0,525.0,5,500,69,240,1,2
San Antonio,61-75,11-20 Years,2019-09-19,Commercial,Texas,500.0,521.0,4,500,73,240,1,2
Spokane,76-90,11-20 Years,2021-12-29,Commercial,Washington,500.0,529.0,6,500,76,240,1,2
Kingsport,76-90,11-20 Years,2020-11-03,Commercial,Tennessee,500.0,522.0,4,500,86,240,1,2
Waterbury,76-90,11-20 Years,2020-04-17,Commercial,Connecticut,500.0,525.0,5,500,87,240,1,2
New Orleans,76-90,11-20 Years,2020-06-25,Commercial,Louisiana,500.0,535.0,7,500,87,240,1,2
Corpus Christi,76-90,11-20 Years,2020-12-28,Commercial,Texas,500.0,523.0,5,500,89,240,1,2
Roanoke,76-90,11-20 Years,2019-09-17,Commercial,Virginia,500.0,534.0,7,500,90,240,1,2
Lubbock,90+,11-20 Years,2019-08-16,Commercial,Texas,500.0,523.0,5,500,93,240,1,2
Washington,0-15,11-20 Years,2022-07-14,Commercial,District of Columbia,1000.0,1068.0,7,"1,000",15,240,1,2
Canton,16-30,11-20 Years,2022-03-28,Commercial,Ohio,1000.0,1060.0,6,"1,000",27,240,1,2
Duluth,31-45,11-20 Years,2019-10-31,Commercial,Minnesota,1000.0,1066.0,7,"1,000",31,240,1,2
Tampa,46-60,11-20 Years,2020-02-24,Commercial,Florida,1000.0,1055.0,6,"1,000",58,240,1,2
Dallas,90+,11-20 Years,2020-03-21,Commercial,Texas,1000.0,1061.0,6,"1,000",91,240,1,2
San Francisco,16-30,11-20 Years,2020-05-24,Commercial,California,2000.0,2113.0,6,"2,000",26,240,1,2
Oceanside,31-45,11-20 Years,2020-01-29,Commercial,California,4000.0,4220.0,6,"4,000",37,240,1,2
New Haven,76-90,11-20 Years,2019-07-13,Commercial,Connecticut,5000.0,5300.0,6,"5,000",76,240,1,2
New Orleans,31-45,11-20 Years,2020-12-09,Commercial,Louisiana,6000.0,6315.0,5,"6,000",41,240,1,2
Peoria,0-15,11-20 Years,2019-07-25,Commercial,Illinois,7000.0,7314.0,4,"7,000",4,240,1,2
Pensacola,0-15,21-30 Years,2020-05-15,Commercial,Florida,500.0,531.0,6,500,10,252,1,2
Canton,0-15,21-30 Years,2020-03-23,Commercial,Ohio,500.0,525.0,5,500,13,252,1,2
Watertown,0-15,21-30 Years,2020-11-09,Commercial,Massachusetts,500.0,530.0,6,500,13,252,1,2
Anaheim,0-15,21-30 Years,2021-08-11,Commercial,California,500.0,535.0,7,500,13,252,1,2
Sacramento,0-15,21-30 Years,2022-03-10,Commercial,California,500.0,522.0,4,500,15,252,1,2
Dayton,16-30,21-30 Years,2020-04-22,Commercial,Ohio,500.0,535.0,7,500,18,252,1,2
Las Vegas,16-30,21-30 Years,2022-06-27,Commercial,Nevada,500.0,524.0,5,500,27,252,1,2
Trenton,16-30,21-30 Years,2022-01-20,Commercial,New Jersey,500.0,524.0,5,500,29,252,1,2
Des Moines,16-30,21-30 Years,2021-10-18,Commercial,Iowa,500.0,530.0,6,500,30,252,1,2
Knoxville,16-30,21-30 Years,2021-04-04,Commercial,Tennessee,500.0,531.0,6,500,30,252,1,2
Seattle,31-45,21-30 Years,2022-07-03,Commercial,Washington,500.0,528.0,6,500,44,252,1,2
Fort Lauderdale,31-45,21-30 Years,2021-11-22,Commercial,Florida,500.0,530.0,6,500,45,252,1,2
Columbus,46-60,21-30 Years,2021-05-03,Commercial,Ohio,500.0,535.0,7,500,48,252,1,2
Raleigh,46-60,21-30 Years,2020-01-05,Commercial,North Carolina,500.0,532.0,6,500,49,252,1,2
Mesa,46-60,21-30 Years,2022-03-20,Commercial,Arizona,500.0,534.0,7,500,49,252,1,2
Atlanta,61-75,21-30 Years,2019-08-31,Commercial,Georgia,500.0,529.0,6,500,62,252,1,2
Birmingham,61-75,21-30 Years,2021-03-22,Commercial,Alabama,500.0,532.0,6,500,63,252,1,2
Inglewood,61-75,21-30 Years,2021-12-06,Commercial,California,500.0,524.0,5,500,67,252,1,2
New York City,76-90,21-30 Years,2020-06-12,Commercial,New York,500.0,523.0,5,500,79,252,1,2
Wilkes Barre,76-90,21-30 Years,2020-01-27,Commercial,Pennsylvania,500.0,528.0,6,500,82,252,1,2
Charlotte,76-90,21-30 Years,2022-06-09,Commercial,North Carolina,500.0,523.0,5,500,89,252,1,2
Shawnee Mission,90+,21-30 Years,2019-10-23,Commercial,Kansas,500.0,525.0,5,500,94,252,1,2
Dallas,0-15,21-30 Years,2020-08-08,Commercial,Texas,1000.0,1055.0,6,"1,000",7,252,1,2
Irvine,0-15,21-30 Years,2021-09-24,Commercial,California,1000.0,1066.0,7,"1,000",9,252,1,2
Washington,16-30,21-30 Years,2019-11-05,Commercial,District of Columbia,1000.0,1063.0,6,"1,000",26,252,1,2
New Hyde Park,16-30,21-30 Years,2020-11-06,Commercial,New York,1000.0,1049.0,5,"1,000",28,252,1,2
Valley Forge,31-45,21-30 Years,2020-03-30,Commercial,Pennsylvania,1000.0,1040.0,4,"1,000",35,252,1,2
Brooksville,31-45,21-30 Years,2020-01-29,Commercial,Florida,1000.0,1046.0,5,"1,000",45,252,1,2
Lexington,46-60,21-30 Years,2020-12-07,Commercial,Kentucky,1000.0,1042.0,4,"1,000",48,252,1,2
Houston,61-75,21-30 Years,2020-10-21,Commercial,Texas,1000.0,1048.0,5,"1,000",65,252,1,2
Huntsville,76-90,21-30 Years,2021-12-03,Commercial,Alabama,1000.0,1050.0,5,"1,000",76,252,1,2
Amarillo,90+,21-30 Years,2022-04-14,Commercial,Texas,1000.0,1069.0,7,"1,000",95,252,1,2
San Antonio,0-15,21-30 Years,2021-05-01,Commercial,Texas,2000.0,2094.0,5,"2,000",8,252,1,2
Lexington,16-30,21-30 Years,2021-06-25,Commercial,Kentucky,2000.0,2115.0,6,"2,000",16,252,1,2
Littleton,16-30,21-30 Years,2020-12-05,Commercial,Colorado,2000.0,2109.0,5,"2,000",25,252,1,2
Madison,31-45,21-30 Years,2020-03-04,Commercial,Wisconsin,2000.0,2139.0,7,"2,000",33,252,1,2
Santa Rosa,46-60,21-30 Years,2022-06-26,Commercial,California,2000.0,2139.0,7,"2,000",55,252,1,2
San Antonio,61-75,21-30 Years,2021-03-06,Commercial,Texas,2000.0,2133.0,7,"2,000",71,252,1,2
Migrate,46-60,21-30 Years,2022-02-16,Commercial,Kentucky,3000.0,3189.0,6,"3,000",52,252,1,2
Flint,46-60,21-30 Years,2021-12-04,Commercial,Michigan,3000.0,3148.0,5,"3,000",59,252,1,2
Milwaukee,16-30,21-30 Years,2019-11-05,Commercial,Wisconsin,4000.0,4216.0,5,"4,000",21,252,1,2
Baltimore,31-45,21-30 Years,2022-02-17,Commercial,Maryland,4000.0,4210.0,5,"4,000",34,252,1,2
Albany,90+,21-30 Years,2022-03-08,Commercial,New York,5000.0,5210.0,4,"5,000",93,252,1,2
Knoxville,16-30,21-30 Years,2021-01-10,Commercial,Tennessee,6000.0,6257.0,4,"6,000",21,252,1,2
Tacoma,76-90,21-30 Years,2022-01-22,Commercial,Washington,6000.0,6317.0,5,"6,000",86,252,1,2
Virginia Beach,76-90,21-30 Years,2020-08-22,Commercial,Virginia,7000.0,7347.0,5,"7,000",88,252,1,2
Oklahoma City,90+,21-30 Years,2019-09-11,Commercial,Oklahoma,18000.0,19028.0,6,"18,000",92,252,1,2
El Paso,0-15,21-30 Years,2020-12-29,Commercial,Texas,500.0,527.0,5,500,5,264,1,2
Roanoke,0-15,21-30 Years,2021-05-28,Commercial,Virginia,500.0,524.0,5,500,15,264,1,2
San Francisco,31-45,21-30 Years,2021-11-02,Commercial,California,500.0,534.0,7,500,32,264,1,2
Anderson,31-45,21-30 Years,2020-09-21,Commercial,Indiana,500.0,531.0,6,500,41,264,1,2
San Francisco,46-60,21-30 Years,2022-05-27,Commercial,California,500.0,522.0,4,500,50,264,1,2
Nashville,46-60,21-30 Years,2020-09-15,Commercial,Tennessee,500.0,523.0,5,500,55,264,1,2
Orlando,61-75,21-30 Years,2020-05-19,Commercial,Florida,500.0,521.0,4,500,61,264,1,2
Topeka,61-75,21-30 Years,2020-11-17,Commercial,Kansas,500.0,527.0,5,500,62,264,1,2
Orlando,61-75,21-30 Years,2020-06-19,Commercial,Florida,500.0,523.0,5,500,75,264,1,2
Minneapolis,76-90,21-30 Years,2021-04-01,Commercial,Minnesota,500.0,534.0,7,500,81,264,1,2
Philadelphia,76-90,21-30 Years,2019-08-22,Commercial,Pennsylvania,500.0,521.0,4,500,84,264,1,2
Colorado Springs,76-90,21-30 Years,2021-08-15,Commercial,Colorado,500.0,528.0,6,500,85,264,1,2
Dayton,76-90,21-30 Years,2022-01-24,Commercial,Ohio,500.0,522.0,4,500,88,264,1,2
Baton Rouge,90+,21-30 Years,2021-03-18,Commercial,Louisiana,500.0,534.0,7,500,91,264,1,2
Katy,0-15,21-30 Years,2019-07-10,Commercial,Texas,1000.0,1041.0,4,"1,000",10,264,1,2
Sacramento,16-30,21-30 Years,2020-10-09,Commercial,California,1000.0,1060.0,6,"1,000",17,264,1,2
Columbus,46-60,21-30 Years,2020-10-14,Commercial,Ohio,1000.0,1051.0,5,"1,000",46,264,1,2
Huntsville,61-75,21-30 Years,2021-11-08,Commercial,Alabama,1000.0,1064.0,6,"1,000",71,264,1,2
New York City,76-90,21-30 Years,2021-01-30,Commercial,New York,1000.0,1046.0,5,"1,000",79,264,1,2
Huntington,76-90,21-30 Years,2020-10-06,Commercial,West Virginia,1000.0,1062.0,6,"1,000",82,264,1,2
Virginia Beach,16-30,21-30 Years,2021-07-21,Commercial,Virginia,2000.0,2113.0,6,"2,000",28,264,1,2
Louisville,31-45,21-30 Years,2022-05-30,Commercial,Kentucky,2000.0,2088.0,4,"2,000",37,264,1,2
Fort Worth,46-60,21-30 Years,2021-03-05,Commercial,Texas,2000.0,2101.0,5,"2,000",58,264,1,2
Las Vegas,76-90,21-30 Years,2021-01-25,Commercial,Nevada,2000.0,2123.0,6,"2,000",82,264,1,2
Brooklyn,76-90,21-30 Years,2021-04-22,Commercial,New York,2000.0,2137.0,7,"2,000",90,264,1,2
Baltimore,90+,21-30 Years,2022-07-13,Commercial,Maryland,2000.0,2099.0,5,"2,000",93,264,1,2
Philadelphia,0-15,21-30 Years,2021-06-12,Commercial,Pennsylvania,3000.0,3178.0,6,"3,000",11,264,1,2
Saint Louis,0-15,21-30 Years,2020-08-12,Commercial,Missouri,3000.0,3139.0,5,"3,000",12,264,1,2
Houston,46-60,21-30 Years,2022-04-18,Commercial,Texas,3000.0,3138.0,5,"3,000",55,264,1,2
Flushing,46-60,21-30 Years,2020-09-12,Commercial,New York,3000.0,3164.0,5,"3,000",55,264,1,2
Washington,61-75,21-30 Years,2019-08-26,Commercial,District of Columbia,3000.0,3179.0,6,"3,000",61,264,1,2
Lansing,76-90,21-30 Years,2019-11-21,Commercial,Michigan,3000.0,3198.0,7,"3,000",87,264,1,2
Portland,76-90,21-30 Years,2019-09-01,Commercial,Oregon,3000.0,3165.0,5,"3,000",90,264,1,2
Young America,0-15,21-30 Years,2019-08-22,Commercial,Minnesota,4000.0,4182.0,5,"4,000",13,264,1,2
Carlsbad,0-15,21-30 Years,2019-12-19,Commercial,California,5000.0,5344.0,7,"5,000",15,264,1,2
Portland,76-90,21-30 Years,2020-04-24,Commercial,Oregon,8000.0,8550.0,7,"8,000",89,264,1,2
Corona,61-75,21-30 Years,2019-09-16,Commercial,California,22000.0,23265.0,6,"22,000",65,264,1,2
Jamaica,61-75,21-30 Years,2019-08-25,Commercial,New York,25000.0,26560.0,6,"25,000",74,264,1,2
Huntington,0-15,21-30 Years,2021-06-17,Commercial,West Virginia,500.0,522.0,4,500,6,276,1,2
Spokane,0-15,21-30 Years,2020-04-15,Commercial,Washington,500.0,523.0,5,500,15,276,1,2
Richmond,16-30,21-30 Years,2022-02-26,Commercial,Virginia,500.0,529.0,6,500,16,276,1,2
Nashville,16-30,21-30 Years,2019-07-30,Commercial,Tennessee,500.0,526.0,5,500,25,276,1,2
Phoenix,16-30,21-30 Years,2019-10-29,Commercial,Arizona,500.0,531.0,6,500,26,276,1,2
Los Angeles,16-30,21-30 Years,2021-06-27,Commercial,California,500.0,521.0,4,500,29,276,1,2
Brockton,31-45,21-30 Years,2021-06-03,Commercial,Massachusetts,500.0,527.0,5,500,38,276,1,2
Staten Island,46-60,21-30 Years,2022-07-04,Commercial,New York,500.0,524.0,5,500,56,276,1,2
Madison,61-75,21-30 Years,2021-07-21,Commercial,Wisconsin,500.0,525.0,5,500,66,276,1,2
El Paso,76-90,21-30 Years,2021-03-12,Commercial,Texas,500.0,524.0,5,500,76,276,1,2
Fort Wayne,76-90,21-30 Years,2022-05-06,Commercial,Indiana,500.0,532.0,6,500,80,276,1,2
Frederick,0-15,21-30 Years,2022-05-31,Commercial,Maryland,1000.0,1043.0,4,"1,000",11,276,1,2
Oklahoma City,16-30,21-30 Years,2021-10-11,Commercial,Oklahoma,1000.0,1056.0,6,"1,000",30,276,1,2
Washington,31-45,21-30 Years,2022-04-01,Commercial,District of Columbia,1000.0,1057.0,6,"1,000",37,276,1,2
Pompano Beach,46-60,21-30 Years,2020-09-19,Commercial,Florida,1000.0,1062.0,6,"1,000",47,276,1,2
Spring Hill,46-60,21-30 Years,2019-12-27,Commercial,Florida,1000.0,1055.0,6,"1,000",60,276,1,2
Oxnard,0-15,21-30 Years,2019-09-07,Commercial,California,1500.0,1603.0,7,"1,500",1,276,1,2
Alexandria,31-45,21-30 Years,2021-04-03,Commercial,Virginia,2000.0,2131.0,7,"2,000",33,276,1,2
Oxnard,16-30,21-30 Years,2021-09-10,Commercial,California,5000.0,5237.0,5,"5,000",25,276,1,2
Rockford,16-30,21-30 Years,2019-11-10,Commercial,Illinois,6000.0,6246.0,4,"6,000",17,276,1,2
Albany,61-75,21-30 Years,2021-04-25,Commercial,New York,7000.0,7446.0,6,"7,000",68,276,1,2
New York City,61-75,21-30 Years,2020-12-03,Commercial,New York,9000.0,9412.0,5,"9,000",74,276,1,2
Manassas,0-15,21-30 Years,2020-01-21,Commercial,Virginia,500.0,525.0,5,500,2,288,1,2
Mobile,0-15,21-30 Years,2021-12-12,Commercial,Alabama,500.0,533.0,7,500,2,288,1,2
Jackson,0-15,21-30 Years,2019-10-27,Commercial,Mississippi,500.0,533.0,7,500,5,288,1,2
Erie,0-15,21-30 Years,2019-09-30,Commercial,Pennsylvania,500.0,526.0,5,500,7,288,1,2
El Paso,16-30,21-30 Years,2022-01-25,Commercial,Texas,500.0,527.0,5,500,18,288,1,2
Phoenix,16-30,21-30 Years,2019-08-18,Commercial,Arizona,500.0,533.0,7,500,21,288,1,2
Philadelphia,16-30,21-30 Years,2019-10-02,Commercial,Pennsylvania,500.0,528.0,6,500,23,288,1,2
Mobile,16-30,21-30 Years,2020-10-08,Commercial,Alabama,500.0,524.0,5,500,27,288,1,2
Charlotte,16-30,21-30 Years,2021-07-10,Commercial,North Carolina,500.0,522.0,4,500,30,288,1,2
Peoria,31-45,21-30 Years,2022-07-12,Commercial,Illinois,500.0,535.0,7,500,34,288,1,2
Lakeland,31-45,21-30 Years,2020-08-26,Commercial,Florida,500.0,529.0,6,500,38,288,1,2
New Haven,46-60,21-30 Years,2019-09-28,Commercial,Connecticut,500.0,522.0,4,500,47,288,1,2
Bloomington,46-60,21-30 Years,2019-07-04,Commercial,Illinois,500.0,532.0,6,500,47,288,1,2
San Diego,46-60,21-30 Years,2021-06-18,Commercial,California,500.0,522.0,4,500,57,288,1,2
Fort Wayne,76-90,21-30 Years,2021-12-12,Commercial,Indiana,500.0,529.0,6,500,76,288,1,2
Shawnee Mission,76-90,21-30 Years,2019-10-24,Commercial,Kansas,500.0,533.0,7,500,76,288,1,2
Waco,76-90,21-30 Years,2019-08-27,Commercial,Texas,500.0,530.0,6,500,80,288,1,2
Chicago,76-90,21-30 Years,2021-08-23,Commercial,Illinois,500.0,525.0,5,500,81,288,1,2
Lancaster,76-90,21-30 Years,2022-07-28,Commercial,California,500.0,527.0,5,500,88,288,1,2
Sioux Falls,0-15,21-30 Years,2021-09-29,Commercial,South Dakota,1000.0,1041.0,4,"1,000",3,288,1,2
Nashville,0-15,21-30 Years,2021-07-25,Commercial,Tennessee,1000.0,1054.0,5,"1,000",4,288,1,2
Aurora,0-15,21-30 Years,2019-11-20,Commercial,Colorado,1000.0,1054.0,5,"1,000",4,288,1,2
Spokane,0-15,21-30 Years,2021-02-04,Commercial,Washington,1000.0,1068.0,7,"1,000",6,288,1,2
Des Moines,31-45,21-30 Years,2021-04-16,Commercial,Iowa,1000.0,1045.0,4,"1,000",36,288,1,2
Indianapolis,61-75,21-30 Years,2021-06-16,Commercial,Indiana,1000.0,1041.0,4,"1,000",64,288,1,2
Palm Bay,61-75,21-30 Years,2020-11-07,Commercial,Florida,1000.0,1066.0,7,"1,000",66,288,1,2
Scottsdale,0-15,21-30 Years,2021-11-22,Commercial,Arizona,1500.0,1560.0,4,"1,500",14,288,1,2
Van Nuys,16-30,21-30 Years,2020-03-01,Commercial,California,2000.0,2087.0,4,"2,000",25,288,1,2
Wichita,46-60,21-30 Years,2019-10-16,Commercial,Kansas,2000.0,2116.0,6,"2,000",58,288,1,2
Seattle,61-75,21-30 Years,2021-11-26,Commercial,Washington,4000.0,4197.0,5,"4,000",66,288,1,2
Houston,76-90,21-30 Years,2021-09-30,Commercial,Texas,4000.0,4166.0,4,"4,000",86,288,1,2
Dallas,31-45,21-30 Years,2020-12-18,Commercial,Texas,6000.0,6310.0,5,"6,000",36,288,1,2
Midland,90+,21-30 Years,2021-10-02,Commercial,Michigan,6000.0,6358.0,6,"6,000",93,288,1,2
Galveston,61-75,21-30 Years,2019-07-22,Commercial,Texas,7000.0,7342.0,5,"7,000",65,288,1,2
Saint Louis,0-15,21-30 Years,2019-09-27,Commercial,Missouri,500.0,526.0,5,500,4,300,1,2
Boise,0-15,21-30 Years,2021-05-05,Commercial,Idaho,500.0,529.0,6,500,6,300,1,2
Oklahoma City,0-15,21-30 Years,2021-07-08,Commercial,Oklahoma,500.0,524.0,5,500,7,300,1,2
Jackson,0-15,21-30 Years,2021-10-20,Commercial,Tennessee,500.0,525.0,5,500,7,300,1,2
Van Nuys,0-15,21-30 Years,2019-12-01,Commercial,California,500.0,532.0,6,500,10,300,1,2
Winston Salem,16-30,21-30 Years,2020-11-17,Commercial,North Carolina,500.0,522.0,4,500,22,300,1,2
Birmingham,16-30,21-30 Years,2021-05-23,Commercial,Alabama,500.0,524.0,5,500,27,300,1,2
Charlotte,16-30,21-30 Years,2020-04-14,Commercial,North Carolina,500.0,522.0,4,500,30,300,1,2
Murfreesboro,31-45,21-30 Years,2021-03-29,Commercial,Tennessee,500.0,525.0,5,500,34,300,1,2
Minneapolis,31-45,21-30 Years,2019-11-20,Commercial,Minnesota,500.0,523.0,5,500,43,300,1,2
Phoenix,46-60,21-30 Years,2022-06-13,Commercial,Arizona,500.0,535.0,7,500,55,300,1,2
Miami,46-60,21-30 Years,2020-02-16,Commercial,Florida,500.0,529.0,6,500,57,300,1,2
Paterson,46-60,21-30 Years,2020-09-22,Commercial,New Jersey,500.0,534.0,7,500,57,300,1,2
San Diego,61-75,21-30 Years,2020-12-23,Commercial,California,500.0,520.0,4,500,61,300,1,2
Sacramento,61-75,21-30 Years,2020-04-13,Commercial,California,500.0,524.0,5,500,72,300,1,2
Las Vegas,61-75,21-30 Years,2019-07-30,Commercial,Nevada,500.0,522.0,4,500,73,300,1,2
Shawnee Mission,61-75,21-30 Years,2020-06-27,Commercial,Kansas,500.0,521.0,4,500,74,300,1,2
Vancouver,76-90,21-30 Years,2021-02-27,Commercial,Washington,500.0,525.0,5,500,81,300,1,2
Mobile,90+,21-30 Years,2019-10-22,Commercial,Alabama,500.0,526.0,5,500,91,300,1,2
Providence,90+,21-30 Years,2022-02-16,Commercial,Rhode Island,500.0,521.0,4,500,92,300,1,2
Las Vegas,90+,21-30 Years,2020-07-23,Commercial,Nevada,500.0,528.0,6,500,94,300,1,2
Las Vegas,31-45,21-30 Years,2021-02-05,Commercial,Nevada,1000.0,1045.0,5,"1,000",41,300,1,2
Sacramento,16-30,21-30 Years,2021-04-12,Commercial,California,3000.0,3174.0,6,"3,000",29,300,1,2
San Francisco,61-75,21-30 Years,2020-04-09,Commercial,California,3000.0,3155.0,5,"3,000",72,300,1,2
Chicago,46-60,21-30 Years,2022-04-02,Commercial,Illinois,4000.0,4272.0,7,"4,000",47,300,1,2
Trenton,31-45,21-30 Years,2021-10-09,Commercial,New Jersey,5000.0,5205.0,4,"5,000",36,300,1,2
White Plains,61-75,21-30 Years,2021-07-03,Commercial,New York,5000.0,5326.0,7,"5,000",65,300,1,2
Beaumont,0-15,21-30 Years,2022-01-23,Commercial,Texas,6000.0,6346.0,6,"6,000",3,300,1,2
Washington,76-90,21-30 Years,2020-01-27,Commercial,District of Columbia,7000.0,7479.0,7,"7,000",83,300,1,2
Pittsburgh,61-75,21-30 Years,2021-11-11,Commercial,Pennsylvania,8000.0,8555.0,7,"8,000",75,300,1,2
Alexandria,61-75,21-30 Years,2022-07-26,Commercial,Virginia,9000.0,9432.0,5,"9,000",72,300,1,2
Lancaster,0-15,21-30 Years,2020-02-18,Commercial,Pennsylvania,500.0,529.0,6,500,8,312,1,2
Danbury,0-15,21-30 Years,2020-06-27,Commercial,Connecticut,500.0,527.0,5,500,9,312,1,2
Bradenton,0-15,21-30 Years,2022-02-01,Commercial,Florida,500.0,534.0,7,500,10,312,1,2
Orlando,16-30,21-30 Years,2022-05-12,Commercial,Florida,500.0,533.0,7,500,29,312,1,2
Pensacola,31-45,21-30 Years,2020-06-05,Commercial,Florida,500.0,535.0,7,500,32,312,1,2
Newport News,31-45,21-30 Years,2019-08-28,Commercial,Virginia,500.0,529.0,6,500,41,312,1,2
Sacramento,61-75,21-30 Years,2022-03-03,Commercial,California,500.0,527.0,5,500,63,312,1,2
Asheville,61-75,21-30 Years,2020-05-05,Commercial,North Carolina,500.0,520.0,4,500,66,312,1,2
Washington,61-75,21-30 Years,2019-12-23,Commercial,District of Columbia,500.0,521.0,4,500,71,312,1,2
Knoxville,61-75,21-30 Years,2021-02-11,Commercial,Tennessee,500.0,521.0,4,500,71,312,1,2
Roanoke,0-15,21-30 Years,2022-03-07,Commercial,Virginia,1000.0,1067.0,7,"1,000",5,312,1,2
Columbia,16-30,21-30 Years,2022-01-02,Commercial,Missouri,1000.0,1050.0,5,"1,000",20,312,1,2
Knoxville,76-90,21-30 Years,2019-12-17,Commercial,Tennessee,1000.0,1042.0,4,"1,000",76,312,1,2
Topeka,76-90,21-30 Years,2021-05-27,Commercial,Kansas,1000.0,1062.0,6,"1,000",88,312,1,2
Los Angeles,31-45,21-30 Years,2022-03-25,Commercial,California,2000.0,2105.0,5,"2,000",39,312,1,2
Austin,31-45,21-30 Years,2021-08-26,Commercial,Texas,2000.0,2112.0,6,"2,000",40,312,1,2
New York City,46-60,21-30 Years,2021-08-26,Commercial,New York,2000.0,2129.0,6,"2,000",54,312,1,2
Worcester,46-60,21-30 Years,2019-10-21,Commercial,Massachusetts,2000.0,2098.0,5,"2,000",55,312,1,2
San Francisco,16-30,21-30 Years,2022-03-21,Commercial,California,4000.0,4274.0,7,"4,000",20,312,1,2
Albuquerque,31-45,21-30 Years,2022-04-18,Commercial,New Mexico,4000.0,4198.0,5,"4,000",36,312,1,2
New Haven,61-75,21-30 Years,2022-05-03,Commercial,Connecticut,5000.0,5248.0,5,"5,000",68,312,1,2
Boston,46-60,21-30 Years,2021-08-26,Commercial,Massachusetts,6000.0,6314.0,5,"6,000",59,312,1,2
Anderson,0-15,21-30 Years,2020-03-31,Commercial,Indiana,7000.0,7289.0,4,"7,000",15,312,1,2
Washington,16-30,21-30 Years,2020-11-28,Commercial,District of Columbia,500.0,530.0,6,500,18,324,1,2
Newark,16-30,21-30 Years,2020-03-08,Commercial,New Jersey,500.0,531.0,6,500,23,324,1,2
Van Nuys,16-30,21-30 Years,2020-12-03,Commercial,California,500.0,521.0,4,500,30,324,1,2
Gulfport,31-45,21-30 Years,2021-06-21,Commercial,Mississippi,500.0,528.0,6,500,37,324,1,2
Houston,46-60,21-30 Years,2022-03-30,Commercial,Texas,500.0,528.0,6,500,50,324,1,2
Anniston,46-60,21-30 Years,2022-05-20,Commercial,Alabama,500.0,533.0,7,500,52,324,1,2
Sacramento,46-60,21-30 Years,2020-02-03,Commercial,California,500.0,529.0,6,500,53,324,1,2
Seattle,46-60,21-30 Years,2020-04-19,Commercial,Washington,500.0,533.0,7,500,54,324,1,2
Pompano Beach,46-60,21-30 Years,2020-12-26,Commercial,Florida,500.0,532.0,6,500,58,324,1,2
Houston,61-75,21-30 Years,2020-06-19,Commercial,Texas,500.0,527.0,5,500,68,324,1,2
Staten Island,61-75,21-30 Years,2021-10-03,Commercial,New York,500.0,523.0,5,500,69,324,1,2
Oakland,61-75,21-30 Years,2020-01-09,Commercial,California,500.0,530.0,6,500,74,324,1,2
New York City,76-90,21-30 Years,2022-07-12,Commercial,New York,500.0,529.0,6,500,85,324,1,2
Jacksonville,90+,21-30 Years,2020-03-31,Commercial,Florida,500.0,530.0,6,500,92,324,1,2
Washington,90+,21-30 Years,2021-04-23,Commercial,District of Columbia,500.0,534.0,7,500,92,324,1,2
Phoenix,90+,21-30 Years,2021-12-21,Commercial,Arizona,500.0,523.0,5,500,93,324,1,2
Saint Petersburg,90+,21-30 Years,2022-07-26,Commercial,Florida,500.0,528.0,6,500,94,324,1,2
Waterloo,0-15,21-30 Years,2021-10-17,Commercial,Iowa,1000.0,1042.0,4,"1,000",15,324,1,2
New York City,16-30,21-30 Years,2021-04-16,Commercial,New York,1000.0,1058.0,6,"1,000",23,324,1,2
Birmingham,31-45,21-30 Years,2019-12-21,Commercial,Alabama,1000.0,1050.0,5,"1,000",34,324,1,2
Pittsburgh,31-45,21-30 Years,2020-04-16,Commercial,Pennsylvania,1000.0,1057.0,6,"1,000",38,324,1,2
Reno,0-15,21-30 Years,2020-06-05,Commercial,Nevada,3000.0,3147.0,5,"3,000",3,324,1,2
Elizabeth,16-30,21-30 Years,2020-04-24,Commercial,New Jersey,4000.0,4267.0,7,"4,000",24,324,1,2
Stamford,31-45,21-30 Years,2021-11-24,Commercial,Connecticut,5000.0,5247.0,5,"5,000",34,324,1,2
Washington,0-15,21-30 Years,2020-07-21,Commercial,District of Columbia,6000.0,6331.0,6,"6,000",15,324,1,2
Jamaica,61-75,21-30 Years,2020-05-14,Commercial,New York,6000.0,6348.0,6,"6,000",69,324,1,2
Glendale,16-30,21-30 Years,2019-12-29,Commercial,California,24000.0,25627.0,7,"24,000",29,324,1,2
Little Rock,0-15,21-30 Years,2020-08-29,Commercial,Arkansas,500.0,521.0,4,500,1,336,1,2
Yakima,0-15,21-30 Years,2020-09-04,Commercial,Washington,500.0,521.0,4,500,3,336,1,2
San Jose,0-15,21-30 Years,2019-07-23,Commercial,California,500.0,533.0,7,500,3,336,1,2
El Paso,0-15,21-30 Years,2021-06-17,Commercial,Texas,500.0,525.0,5,500,4,336,1,2
